order_id,product_id,quantity,unit_price,total_price
2850500678,288845,2,967.07,967.07
2850500678,665753,1,447.07,1341.21
2850500678,619322,1,948.26,1896.52
2850500678,728347,2,974.81,2924.43
2850500678,513638,2,590.8,1181.6
2850500678,49731,1,889.53,1779.06
7171106490,324022,3,922.44,2767.32
3829771237,312434,1,955.16,2865.48
3829771237,883616,1,54.94,109.88
3829771237,824401,3,480.59,480.59
3829771237,761592,1,230.69,692.0699999999999
3829771237,974508,3,884.58,1769.16
3829771237,266697,2,54.03,162.09
3829771237,490721,3,889.42,889.42
3829771237,619029,2,605.5,1816.5
459643984,93118,3,412.44,824.88
459643984,534922,2,280.32,560.64
459643984,983638,2,466.18,466.18
459643984,358455,1,723.74,723.74
459643984,135471,1,799.43,2398.29
1316777473,170243,3,371.51,371.51
1316777473,965588,3,689.04,1378.08
1316777473,305854,3,801.12,2403.36
7511736375,687682,2,497.09,1491.27
7511736375,715324,3,641.34,1282.68
7511736375,513638,1,590.8,1181.6
7511736375,324022,3,922.44,2767.32
7511736375,693701,2,698.36,1396.72
7511736375,175100,3,265.86,531.72
9078729924,952157,2,953.8,953.8
9078729924,589574,1,243.76,243.76
9078729924,585821,1,851.72,851.72
9078729924,884012,2,563.31,563.31
9078729924,46310,1,558.24,558.24
3818630716,175326,2,89.36,268.08
3818630716,59935,3,762.51,1525.02
3818630716,59398,3,912.25,1824.5
3818630716,404162,2,673.01,2019.03
3818630716,587007,1,119.33,357.99
3818630716,469022,2,184.01,552.03
3818630716,941480,1,409.21,818.42
3818630716,135471,3,799.43,2398.29
8585415558,86738,1,532.47,1064.94
8585415558,880073,1,777.77,2333.31
8585415558,693701,3,698.36,698.36
8585415558,78511,2,843.43,843.43
3164636338,270538,1,176.39,176.39
3164636338,687682,2,497.09,994.18
3164636338,469022,1,184.01,552.03
3164636338,728347,1,974.81,1949.62
3164636338,744975,1,682.39,682.39
1069569617,175100,1,265.86,797.58
1069569617,605163,1,904.89,904.89
1069569617,336109,3,809.18,1618.36
1069569617,469199,1,650.95,1301.9
1069569617,93118,3,412.44,1237.32
8830652374,513638,3,590.8,1772.3999999999999
8830652374,896771,1,675.72,1351.44
192325016,451766,1,565.95,1131.9
192325016,824401,3,480.59,1441.77
192325016,78511,3,843.43,2530.29
192325016,793118,3,726.12,1452.24
192325016,843766,2,38.63,115.89000000000001
192325016,159869,2,564.18,1692.54
192325016,84626,1,177.21,177.21
6018926249,59935,3,762.51,2287.5299999999997
6018926249,982278,1,671.22,2013.66
6018926249,972540,2,733.9,1467.8
6018926249,251750,2,231.85,463.7
6018926249,941480,3,409.21,1227.6299999999999
758171239,121113,2,355.5,1066.5
758171239,852711,2,442.03,1326.09
758171239,513638,2,590.8,1181.6
758171239,279942,1,890.62,2671.86
758171239,821754,1,835.94,1671.88
758171239,622371,1,389.62,1168.8600000000001
758171239,59398,2,912.25,2736.75
9687670406,59935,1,762.51,762.51
9687670406,49731,3,889.53,889.53
3836331811,636691,1,543.71,543.71
2304449471,843766,3,38.63,38.63
2304449471,270538,1,176.39,176.39
2304449471,480116,3,112.86,112.86
2304449471,686620,1,474.28,474.28
2304449471,737010,2,33.54,33.54
3049938096,313027,3,612.56,612.56
3049938096,686620,1,474.28,1422.84
3049938096,774587,3,101.29,202.58
969452191,965588,1,689.04,1378.08
969452191,367746,3,139.75,419.25
4088350993,216286,2,582.64,582.64
4088350993,869164,1,477.36,954.72
4088350993,201550,3,29.85,89.55000000000001
4088350993,135471,3,799.43,2398.29
4088350993,170243,3,371.51,743.02
2779255026,159869,2,564.18,1692.54
2779255026,728347,1,974.81,974.81
2779255026,628414,3,107.52,322.56
3144468812,534922,1,280.32,840.96
4914116817,324022,1,922.44,1844.88
7247346786,709819,2,502.09,1506.27
7247346786,824401,1,480.59,1441.77
7247346786,761592,2,230.69,461.38
7247346786,182034,2,814.92,814.92
7247346786,954719,3,371.12,742.24
7247346786,254285,1,296.29,592.58
7247346786,313027,3,612.56,1225.12
7247346786,277760,3,92.96,185.92
5025845984,985029,3,272.33,816.99
5025845984,901230,3,282.54,565.08
5025845984,737010,2,33.54,33.54
5025845984,536226,1,129.61,129.61
5025845984,557260,3,350.39,1051.17
5025845984,896771,3,675.72,675.72
494185217,206985,3,615.25,615.25
494185217,446599,2,39.18,117.53999999999999
494185217,523894,2,501.55,501.55
3209159169,607426,2,306.67,306.67
3209159169,450332,2,802.36,2407.08
3209159169,367746,2,139.75,139.75
3209159169,330890,2,984.22,2952.66
3209159169,981939,3,244.0,244.0
3209159169,320860,3,758.19,758.19
3209159169,172338,3,967.68,2903.04
3209159169,913328,1,443.17,1329.51
9365778969,536226,2,129.61,259.22
9365778969,811951,1,581.75,581.75
9365778969,490721,3,889.42,1778.84
9365778969,932470,2,264.31,792.9300000000001
9365778969,636691,2,543.71,1631.13
9365778969,548246,2,105.85,317.54999999999995
9365778969,557260,2,350.39,700.78
9709173476,571385,1,569.92,1139.84
9709173476,722166,1,719.24,2157.7200000000003
9709173476,341021,1,76.19,228.57
9709173476,305854,2,801.12,2403.36
9709173476,687682,3,497.09,994.18
1736691823,483424,2,605.31,605.31
1736691823,126727,3,175.34,175.34
1736691823,201434,2,389.41,778.82
1736691823,884945,1,531.3,1062.6
1736691823,872566,1,902.33,902.33
1736691823,619029,3,605.5,1816.5
764690702,619029,2,605.5,1211.0
764690702,776786,1,144.34,433.02
764690702,450332,3,802.36,802.36
764690702,693701,1,698.36,1396.72
764690702,830761,1,680.05,1360.1
764690702,878736,3,897.0,2691.0
7593471025,314268,1,885.68,2657.04
7593471025,206296,1,635.27,1270.54
9853270521,913078,2,943.65,1887.3
9853270521,312434,1,955.16,2865.48
9853270521,460420,1,415.46,415.46
9853270521,775868,1,109.79,109.79
9853270521,78228,1,992.53,1985.06
9853270521,327387,3,37.79,37.79
4288529188,665753,1,447.07,894.14
4288529188,206296,2,635.27,1905.81
4288529188,261365,2,241.51,483.02
4288529188,393408,3,409.72,819.44
4288529188,607426,2,306.67,306.67
4288529188,972540,3,733.9,733.9
3154879255,402306,1,199.87,199.87
3154879255,279942,1,890.62,890.62
3154879255,872566,1,902.33,902.33
3154879255,785189,2,443.94,1331.82
3154879255,585821,2,851.72,851.72
3154879255,517688,3,915.2,915.2
3154879255,605163,1,904.89,2714.67
3154879255,460420,3,415.46,830.92
8120837867,317913,1,898.61,2695.83
8120837867,148434,3,132.28,264.56
8120837867,821754,3,835.94,1671.88
8120837867,874727,1,147.13,441.39
8120837867,713026,3,860.08,1720.16
5408470302,619029,3,605.5,1211.0
5408470302,886316,2,652.23,1304.46
5408470302,557260,2,350.39,700.78
6346754924,407012,2,813.76,1627.52
6346754924,728059,1,88.44,265.32
6346754924,65579,1,346.73,1040.19
6346754924,10203,1,351.04,1053.1200000000001
6346754924,60906,1,417.75,417.75
6346754924,668018,1,587.18,587.18
6346754924,999422,2,823.04,823.04
5731804243,869164,1,477.36,1432.08
5731804243,999606,3,422.97,422.97
5731804243,317913,1,898.61,2695.83
5731804243,569492,1,556.96,556.96
7619720404,578395,1,343.72,687.44
1308703406,872149,2,22.6,22.6
1308703406,811951,1,581.75,581.75
864738378,709819,1,502.09,1506.27
864738378,330274,2,705.02,705.02
864738378,460420,2,415.46,830.92
864738378,276387,1,531.72,531.72
864738378,536226,1,129.61,388.83000000000004
864738378,926526,2,277.27,277.27
864738378,982278,1,671.22,2013.66
9783493265,407012,3,813.76,2441.2799999999997
2802500783,175100,1,265.86,531.72
2802500783,814101,3,691.18,691.18
2802500783,548246,3,105.85,317.54999999999995
2802500783,327387,2,37.79,113.37
2802500783,872566,2,902.33,902.33
2802500783,874862,2,986.68,986.68
2802500783,93118,2,412.44,824.88
2802500783,59398,2,912.25,2736.75
8625144136,93628,1,683.35,683.35
1152931405,605163,1,904.89,2714.67
1152931405,435978,1,878.85,878.85
1152931405,793118,2,726.12,2178.36
1152931405,842190,2,164.99,164.99
1152931405,59398,3,912.25,912.25
1152931405,619029,3,605.5,1816.5
1152931405,121113,1,355.5,1066.5
1152931405,814101,3,691.18,2073.54
7480454899,124129,2,185.39,185.39
7480454899,490721,2,889.42,1778.84
7480454899,183541,1,361.08,361.08
7480454899,93628,2,683.35,2050.05
7480454899,728059,2,88.44,176.88
4395520324,182481,1,400.67,400.67
4395520324,121113,3,355.5,711.0
4395520324,693360,2,927.24,927.24
4395520324,913078,3,943.65,943.65
4395520324,737010,2,33.54,33.54
4395520324,357493,3,288.98,577.96
4395520324,123988,1,290.68,290.68
4395520324,536226,1,129.61,388.83000000000004
2754558974,279942,3,890.62,1781.24
2754558974,206985,2,615.25,1845.75
2754558974,811951,2,581.75,1163.5
4650318593,536226,1,129.61,388.83000000000004
4650318593,352014,1,332.6,997.8000000000001
4650318593,964645,3,456.67,913.34
4650318593,737010,3,33.54,100.62
4650318593,557260,2,350.39,700.78
4650318593,886316,3,652.23,652.23
5572716475,324022,3,922.44,1844.88
5572716475,417688,3,768.7,1537.4
5572716475,123988,2,290.68,872.04
5572716475,124129,3,185.39,556.17
5572716475,65579,3,346.73,1040.19
5572716475,824401,2,480.59,961.18
5572716475,571385,1,569.92,1709.7599999999998
2734329324,39812,2,687.03,2061.09
2734329324,852711,3,442.03,884.06
2734329324,480116,2,112.86,338.58
2734329324,575838,2,914.85,914.85
2734329324,842190,1,164.99,164.99
442836181,878736,2,897.0,2691.0
442836181,469022,3,184.01,552.03
7312766372,167886,3,897.69,1795.38
7312766372,709819,3,502.09,502.09
7312766372,653248,1,527.16,527.16
7312766372,124129,3,185.39,185.39
7312766372,317298,2,858.57,858.57
7312766372,534922,3,280.32,280.32
7778959162,172520,3,513.55,513.55
7778959162,513638,2,590.8,1772.3999999999999
7778959162,324022,2,922.44,922.44
7778959162,254079,1,96.97,193.94
7778959162,913078,2,943.65,943.65
7778959162,836973,3,734.63,2203.89
4251165351,965588,2,689.04,2067.12
4251165351,914173,2,33.84,101.52000000000001
5848721367,385835,1,809.8,2429.3999999999996
5848721367,884945,3,531.3,531.3
5848721367,697653,1,431.78,1295.34
6445426132,206985,1,615.25,1845.75
5530861970,227250,3,973.53,973.53
5642505097,172520,2,513.55,513.55
5642505097,317298,3,858.57,1717.14
5642505097,25710,3,446.09,446.09
