product_id,date,stock_received,damaged_stock
201550,01-01-2023,1,0
201550,02-01-2023,1,1
201550,03-01-2023,1,1
201550,04-01-2023,2,0
201550,05-01-2023,0,0
201550,06-01-2023,2,0
201550,07-01-2023,2,1
201550,08-01-2023,1,1
201550,09-01-2023,1,1
201550,10-01-2023,2,0
201550,11-01-2023,0,1
201550,12-01-2023,0,1
201550,13-01-2023,0,0
201550,14-01-2023,2,1
201550,15-01-2023,2,0
201550,16-01-2023,2,0
201550,17-01-2023,1,0
201550,18-01-2023,0,1
201550,19-01-2023,2,0
201550,20-01-2023,1,1
201550,21-01-2023,0,0
201550,22-01-2023,2,1
201550,23-01-2023,2,0
201550,24-01-2023,2,1
201550,25-01-2023,0,1
201550,26-01-2023,0,0
201550,27-01-2023,1,1
201550,28-01-2023,0,0
201550,29-01-2023,0,1
201550,30-01-2023,1,0
201550,31-01-2023,0,0
201550,01-02-2023,2,1
201550,02-02-2023,2,0
201550,03-02-2023,2,1
201550,04-02-2023,1,1
201550,05-02-2023,2,0
201550,06-02-2023,1,1
201550,07-02-2023,0,1
201550,08-02-2023,2,1
201550,09-02-2023,0,1
201550,10-02-2023,1,1
201550,11-02-2023,2,0
201550,12-02-2023,1,0
201550,13-02-2023,1,0
201550,14-02-2023,2,0
201550,15-02-2023,0,1
201550,16-02-2023,0,0
201550,17-02-2023,2,0
201550,18-02-2023,2,1
201550,19-02-2023,0,0
201550,20-02-2023,0,1
201550,21-02-2023,1,1
201550,22-02-2023,1,1
201550,23-02-2023,1,0
201550,24-02-2023,1,0
201550,25-02-2023,2,1
201550,26-02-2023,2,0
201550,27-02-2023,1,0
201550,28-02-2023,0,0
201550,01-03-2023,0,0
201550,02-03-2023,0,0
201550,03-03-2023,0,1
201550,04-03-2023,1,1
201550,05-03-2023,2,1
201550,06-03-2023,0,0
201550,07-03-2023,0,1
201550,08-03-2023,0,0
201550,09-03-2023,0,0
201550,10-03-2023,2,1
201550,11-03-2023,1,0
